docket_number,date_argued,justice,sentiment_score_afinn,sentiment_score_sentimentr,questions,interruptions,words_spoken,top_word,unigrams,most_positive_sentence,most_negative_sentence,caseName,petitioner_wins,justice_in_majority,voted_for_petitioner
18-725,2019-11-04T00:00:00Z,JUSTICE GORSUCH,,,,,,,,,,BARTON v. BARR,FALSE,TRUE,FALSE
18-725,2019-11-04T00:00:00Z,JUSTICE KAVANAUGH,-0.6,-0.0363780404311841,7,7,417,deportable,provision cancellation removal who've u.s time clean records agree clean clean record statute excludes aggravated felonies excludes arguably categories list crimes deportable list crimes admissible categories suggest committed aggravated felony time deportable crimes inadmissible crimes structure makes ineligible cancellation removal understand structure determined inadmissible deportable question eligible cancellation removal congress ijs sufficient period time committed crimes aggravated felonies deportable offenses inadmissible offenses committed categories eligible cancellation removal understanding offense makes deportable question eligible cancellation removal blemish rise level deportable congress suggested broadening list ineligible cancellation removal deportable instance timing timing government's easy congress write statute link stop time offense offense charged removal proceeding,But generally clean.,What do you do with the government's argument that it would have been very easy for Congress to write the statute to link the stop-time offense to the offense charged in the removal proceeding?,BARTON v. BARR,FALSE,TRUE,FALSE
18-725,2019-11-04T00:00:00Z,JUSTICE GINSBURG,-0.5,0.159057255002628,4,2,103,congress,sit situations lawfully permanent resident subject status ineligibility inadmissibility leaving country coming simple appeal government dense statute congress congress clock stop alien committed qualifying offense abused hospitality united,Inadmissibility?,"Well, what about the simple, but it has a certain appeal, argument the government is making, this is a very dense statute, that if we ask why would Congress -- why wouldn't Congress want the clock to stop when an alien has committed a qualifying offense showing that he has abused the hospitality of the United States?",BARTON v. BARR,FALSE,FALSE,FALSE
18-7739,2019-12-10T00:00:00Z,CHIEF JUSTICE ROBERTS,-1,0.18118255115567,1,3,376,court,defendant sentence district court decision sentence months misunderstood provision history deterrence whichever district court supposed court appeals defendant substantively unreasonable district court added months reason addressed defendant submission district court require objection district court explained adding months defendant unreasonable months precisely adding months yeah odd results objection district judge sitting court appeals filed 40 pages objecting provision district court guess post decision objection people notice defendant objecting shape subsequent proceedings district court appellate review defendant regime lot factors count subsections helpful process people concern forward ratner,"Thank you, counsel.","I mean, without a particular objection, the district judge might, you know, be sitting there in the court of appeals and the brief that is filed is, you know, 40 pages objecting to, you know, a particular provision.",HOLGUIN-HERNANDEZ v. UNITED STATES,TRUE,TRUE,TRUE
18-7739,2019-12-10T00:00:00Z,JUSTICE THOMAS,,,,,,,,,,HOLGUIN-HERNANDEZ v. UNITED STATES,TRUE,TRUE,TRUE
18-7739,2019-12-10T00:00:00Z,JUSTICE BREYER,,,,,,,,,,HOLGUIN-HERNANDEZ v. UNITED STATES,TRUE,TRUE,TRUE
18-7739,2019-12-10T00:00:00Z,JUSTICE ALITO,-10,0.318944896750046,2,3,266,sentence,called parsimony principle precise sentence serves sentencing excessive extent 11 months sentence called sentencing reform act 10 12 eleven parsimony principle identifies precise sentence correct sentence defense 11 urge sentence client 11 months sentence 12 months range reasonableness shown appeal defense lines quickly defense understand guidelines range 10 12 months presumptively reasonable argue urge sentence client 10 judge choose 11 defense argue appeal 11 unreasonable understand range reasonable range sentence 10,"He says, I understand that's the range and that's a reasonable range, but I think the appropriate sentence here is 10.","What if defense counsel says, look, I understand that the -- the guidelines range is 10 to 12 months and I -- and I know that that's presumptively reasonable and I'm not going to argue with that, but I urge you to sentence my client to no more than 10.",HOLGUIN-HERNANDEZ v. UNITED STATES,TRUE,TRUE,TRUE
18-7739,2019-12-10T00:00:00Z,JUSTICE SOTOMAYOR,1,0.0495458561762196,2,2,240,10,kendall kendall amici mind arguing necessarily objection circumstances arguing circumstances renew afterward lay reasons 10 months district court notice reasons 10 months basically speak assuming question district court sort notice basis believing 10 12 11 months preserved objection adequately address agree happened experience question reviewing court situation judgment objection adequately preserved restated,I -- I agree with you.,I'm sorry.,HOLGUIN-HERNANDEZ v. UNITED STATES,TRUE,TRUE,TRUE
18-7739,2019-12-10T00:00:00Z,JUSTICE KAGAN,,,,,,,,,,HOLGUIN-HERNANDEZ v. UNITED STATES,TRUE,TRUE,TRUE
18-7739,2019-12-10T00:00:00Z,JUSTICE GORSUCH,,,,,,,,,,HOLGUIN-HERNANDEZ v. UNITED STATES,TRUE,TRUE,TRUE
18-7739,2019-12-10T00:00:00Z,JUSTICE KAVANAUGH,,,,,,,,,,HOLGUIN-HERNANDEZ v. UNITED STATES,TRUE,TRUE,TRUE
18-7739,2019-12-10T00:00:00Z,JUSTICE GINSBURG,-2,0.323067288593763,0,2,27,preferred,defense argued preferred defendant's preferred sentence excessive,Counsel -- counsel argued for the preferred -- the defendant's preferred sentence.,Didn't say that anything other than that would be excessive.,HOLGUIN-HERNANDEZ v. UNITED STATES,TRUE,TRUE,TRUE
18-776,2019-12-09T00:00:00Z,CHIEF JUSTICE ROBERTS,-4,-0.0484089660738464,1,0,101,conduct,punch cruel abstract soft extent offense dignity figure range legal decisions determinations conduct cruel conduct conduct cruel makes easier characterize liu,"Thank you, counsel.","I mean, obviously, in the -- in the abstract, it could be anything to -- however soft it is, to the extent it's an offense to dignity or, you know, I mean, isn't -- wouldn't one thing to do if you're trying to figure that out to be look at the range of legal decisions, determinations, that said this conduct is cruel, this conduct is not, this conduct is cruel, and I don't know that that makes it any easier to characterize.",GUERRERO-LASPRILLA v. BARR,TRUE,TRUE,TRUE
18-776,2019-12-09T00:00:00Z,JUSTICE THOMAS,,,,,,,,,,GUERRERO-LASPRILLA v. BARR,TRUE,FALSE,FALSE
18-776,2019-12-09T00:00:00Z,JUSTICE BREYER,,,,,,,,,,GUERRERO-LASPRILLA v. BARR,TRUE,TRUE,TRUE
18-776,2019-12-09T00:00:00Z,JUSTICE ALITO,-0.5,0.131679155582487,4,3,384,review,read government's statement theory permissible court review board articulated theory theory read review extend rare situations response standard mentioned sufficient standard mentioned review narrow exception difference understood arguing position considerably larger suggested start sham sham exception applying theory theory claim apply review situation read liu correct difference positions application legal standard legal standard requires considerable exercise judgment equitable tolling determine due diligence exceptional circumstances reviewed suppose principal applies reviewed pure question law rule interpretation difference degree review permitted criminal alien degree review permitted criminal alien slight yeah,Well --,"And under your interpretation, what is the difference between the degree of review that is permitted in the case of a criminal alien and the degree of review that's permitted in the case of a non-criminal alien?",GUERRERO-LASPRILLA v. BARR,TRUE,FALSE,FALSE
18-776,2019-12-09T00:00:00Z,JUSTICE SOTOMAYOR,-2.2,0.139880227202643,2,4,137,cruel,thinking similar terms realize clarity statement colleague involving exceptional circumstances diligence question law cruel cruelty issue punch cruel knife wound threat family found succinctly questions law phrased head existence adverse circuit precedent serves obstacle filing timely motion reopen ovalles,All right.,"Whether a punch is cruel or a knife wound is or a threat to family is, all of those are facts that can be found by the",GUERRERO-LASPRILLA v. BARR,TRUE,TRUE,TRUE
18-776,2019-12-09T00:00:00Z,JUSTICE KAGAN,-0.5,0.0739167977037369,3,3,586,questions,substantial evidence standard highly deferential standard rare talk st cyr talk idea mixed questions law pure questions law bucket legal bucket matters interpretation essentially law started questions view suggest law question citizen's removal result exceptional extremely unusual hardship citizen subjected extreme cruelty changed country conditions sort involve questions involve finding talking lakeridge framework sort talking assumption briefs bucket bucket legal bucket law questions guess range questions lot questions finding weighing credibility judgments weighing balancing sort hughes question broad respect diligence questions reviewable mentioned sound factual extreme cruelty unusual hardship changed country conditions reviewed highly deferential standard suggests everybody's aware factual level application legal standard action congress's intent pretty withdraw review power categories principally legal quality suggest putting reviewable basket hughes spoken presumption reviewability question nature presumption guess liu answer question presumption presumption congressional intent presumption presumption meant reflect values,"And given what Justice Ginsburg was saying about Congress's intent here, which was pretty clearly to withdraw review power from large categories of cases, except the ones that were principally legal in quality, you know, why -- why doesn't that suggest that you're putting too much in this reviewable basket?","But, you know, I started looking around to -- to think about some of the other questions that your view might suggest is a law question, and so here are just a few that I came up with: whether a non-citizen's removal would result in exceptional and extremely unusual hardship, whether a non-citizen has been subjected to extreme cruelty, whether changed country conditions are present.",GUERRERO-LASPRILLA v. BARR,TRUE,TRUE,TRUE
18-776,2019-12-09T00:00:00Z,JUSTICE GORSUCH,-2,0.151687643503338,2,1,180,review,hughes similar lines question reasonable diligence question reviewed 1252 reviewed understanding courts appeals review abuse discretion typically lot questions diligence issue courts appeals review abuse discretion suppose moment argue suppose standard review teach question avoid question guess disentangle review legally versus left board discretionary decision review abuse discretion legal review,"If that's right -- and just suppose for a moment that's right, all right?",And that would typically be the case in a lot of questions where diligence is -- is the issue.,GUERRERO-LASPRILLA v. BARR,TRUE,TRUE,TRUE
18-776,2019-12-09T00:00:00Z,JUSTICE KAVANAUGH,,0.214070383865581,1,1,105,questions,statutory history raised st cyr involves court characterized pure questions law congress variety statutes aware refer mixed questions congress statute refer specifically mixed questions lean reading statute refer call pure questions law government's respond statutory history redundant,"On the statutory history point that Justice Kagan raised, St. Cyr involves what the Court characterized as pure questions of law.",That's the government's argument.,GUERRERO-LASPRILLA v. BARR,TRUE,TRUE,TRUE
18-776,2019-12-09T00:00:00Z,JUSTICE GINSBURG,-2.8,-0.288902699574918,1,2,95,disputes,congress meant restrict court appeals review removal criminal aliens congress's purpose limited limited review removal criminal aliens position disputes reviewable law application law undisputed straight disputes straight disputes court appeals decided instance,But don't -- we do --,"-- we do know that Congress meant to restrict the court of appeals' review of orders of removal of criminal aliens, so that was Congress's purpose when it wanted the limited -- limited review in -- in the case of removal of criminal aliens.",GUERRERO-LASPRILLA v. BARR,TRUE,TRUE,TRUE
18-801,2019-10-07T00:00:00Z,CHIEF JUSTICE ROBERTS,,0.286722322522061,1,1,31,bill,send respondent bill time chu,Certainly.,Mr. Chu.,PETER v. NANTKWEST INC.,FALSE,TRUE,FALSE
18-801,2019-10-07T00:00:00Z,JUSTICE THOMAS,,,,,,,,,,PETER v. NANTKWEST INC.,FALSE,TRUE,FALSE
18-801,2019-10-07T00:00:00Z,JUSTICE BREYER,-1.4,0.172276668531551,3,9,347,patent,cut deal 1830s enacted patent litigants paid costs including attorneys fees patent office special costs pay sense 1860s government decides pay expenses sense pay 1990 system system lot sense special costs patent litigants pay pay putting special burden clearer break american rule official weight 1865 18 1990 time congress paid costs true 1865 1990 oddly sort giving delay 100 1930 discover congress patent fees match patent expenses official,All right.,Sorry.,PETER v. NANTKWEST INC.,FALSE,TRUE,FALSE
18-801,2019-10-07T00:00:00Z,JUSTICE ALITO,,,,,,,,,,PETER v. NANTKWEST INC.,FALSE,TRUE,FALSE
18-801,2019-10-07T00:00:00Z,JUSTICE SOTOMAYOR,,0.102140716891831,0,1,52,fees,stewart paying fees meaning time attributing attorneys official paralegals paid fees patent application fee covering shortfall,Mr. Stewart --,"Without these fees, the patent application fee itself is covering it.",PETER v. NANTKWEST INC.,FALSE,TRUE,FALSE
18-801,2019-10-07T00:00:00Z,JUSTICE KAGAN,0,0.28489533988435,2,1,82,american,interrupt dropping initial american rule apply reply mention responding kavanaugh's questions minutes effectively dropped american rule presumption,"Does that mean you are dropping your argument in your initial brief that the American Rule doesn't apply to this kind of case, because in your reply brief you don't make any mention of that, and here in responding to Justice Kavanaugh's questions and in your first two minutes, you also don't make that argument again, have you effectively dropped that argument so we're now within the American Rule presumption?",Does -- does -- may I interrupt for a second?,PETER v. NANTKWEST INC.,FALSE,TRUE,FALSE
18-801,2019-10-07T00:00:00Z,JUSTICE GORSUCH,-0.333333333333333,0.134359241008824,10,6,176,government,interpretation expenses includes attorneys fees argue inhibit government suggesting forms overhead allocated litigants electric bill sewage bill required litigate lawyer government hired lawyer allocating personnel expenses proceeding prohibit government allocating expenses proceeding words burdened rate include form overhead talking helpful 170 government figure,Right.,What would prohibit the government from allocating other expenses to this proceeding?,PETER v. NANTKWEST INC.,FALSE,TRUE,FALSE
18-801,2019-10-07T00:00:00Z,JUSTICE KAVANAUGH,1,0.180379352270681,9,6,283,fees,losing party statutes provide fees attorneys fees awarded prevailing party called radical departure started official statutory term expenses unambiguously covers attorneys fees questions suggest statement rule explicitly expressly cover fees statutes satisfy refer attorneys attorneys fees fees term expenses disagree true statement backdrop question agree statement requirement correct ahead covered confirm rule cover affect statutory provisions terms purpose congress sustaining agency sense congress winning party pay government's legal fees unusual congress guess costs amount attorneys fees unusual degree,Go -- go ahead.,I think that would be true if there weren't some kind of clear statement backdrop to this.,PETER v. NANTKWEST INC.,FALSE,TRUE,FALSE
18-801,2019-10-07T00:00:00Z,JUSTICE GINSBURG,-1.66666666666667,0.0655056947454261,3,3,133,attorneys,stewart federal statute attorneys fees basis word expenses expenses attorneys fees expenses including attorneys fees statute attorneys fees simply basis word expenses violating statute statute mandatory discretionary official stewart word expenses include attorneys fees understand expenses include attorneys fees stewart dispute federal circuit's estimate cost,"But you would -- you would say that in all the years that you weren't doing it, you were violating the statute because the statute is mandatory and not discretionary?","But what other statute provides for attorneys' fees simply on the basis of the word ""expenses""?",PETER v. NANTKWEST INC.,FALSE,TRUE,FALSE
18-8369,2020-02-26T00:00:00Z,CHIEF JUSTICE ROBERTS,-1.76923076923077,-0.0555404506572503,4,3,566,claim,19 understand level blameworthiness frivolous malicious failure claim hand 1915 designed ease burden expense courts marshal service time court claim decide dismiss attendant failure claim prejudice fail claim fail claim procedural bar repeat filed complaint meritorious claim meritorious underlying claim properly plead driving factors ease burden volume court time blameworthiness filers clogging dockets expense occurred court dismiss action extent impact system grounds denial assume procedural defect tax resources court court entire judicial system service process guess issue talking identified heck ahead file procedural defect abusive filing prospect success time filed view burdens system regarded strike 1915 odd frivolous dismissed frivolous prejudice suing wrong person tom smith guard fred jones characterized frivolous possibility success guy naming day prejudice suit's completely compelling guy dichotomy called dichotomy frivolous failure claim draw airtight suggest olson,"Thank you, counsel.","I mean, it's -- it's -- I guess the issue that you and Justice Ginsburg were talking about, if -- if it's been identified that you've got a Heck problem and then you go ahead and you file the same thing, that's still a procedural defect, but it is a -- I don't know if you want to say abusive, but it is the filing of a case that does not have the prospect of success at that time as filed, and from the point of view of the burdens on the -- on the system, I don't see why it shouldn't be regarded as a strike under 1915.",LOMAX v. ORTIZ-MARQUEZ,FALSE,TRUE,FALSE
18-8369,2020-02-26T00:00:00Z,JUSTICE THOMAS,,,,,,,,,,LOMAX v. ORTIZ-MARQUEZ,FALSE,TRUE,FALSE
18-8369,2020-02-26T00:00:00Z,JUSTICE BREYER,,,,,,,,,,LOMAX v. ORTIZ-MARQUEZ,FALSE,TRUE,FALSE
18-8369,2020-02-26T00:00:00Z,JUSTICE ALITO,,0.00224748960513996,4,2,139,prejudice,standard district court applies deciding dismiss prejudice enforced appeal court dismisses prejudice courts appeals reverse ground prejudice category wondering incentives rule advocating provide district courts deciding dismiss prejudice prejudice account dismiss prejudice enable frequent litigator continue file concern incentive label dismissals prejudice,And --,"In deciding whether to dismiss with prejudice or without prejudice, if they have to take into account -- if I dismiss without prejudice, this is -- is going to enable this frequent litigator to continue to file, will -- do you have any concern that that's going to give them an incentive to label these dismissals with prejudice?",LOMAX v. ORTIZ-MARQUEZ,FALSE,TRUE,FALSE
18-8369,2020-02-26T00:00:00Z,JUSTICE SOTOMAYOR,-3.25,-0.128374367462684,1,0,308,heck,burgess question sort analytically tied questions call heck bar comparable immunity counting strike lack jurisdiction failure exhaust sovereign immunity potentially heck bar jurisdictional questions mind analytically question mere dismissal failure claim prejudice claim particularity immunity heck failure exhaust legitimate claim independent ground court failure claim prejudice statement issue question addresses dismissal prejudice counted strike incorrect assumption bio reframe question include question heck qualified dismissal heck purposes frankly sets splits question dismissal prejudice prejudice treated strike circuit split circuits heck dismissal subject strike granted read purely understand litigant pro se litigant record raised heck split question,-- below.,"The failure to state a claim without prejudice, however, is a different statement and a different issue.",LOMAX v. ORTIZ-MARQUEZ,FALSE,TRUE,FALSE
18-8369,2020-02-26T00:00:00Z,JUSTICE KAGAN,,0.0163343728378918,3,2,108,default,mister burgess basic language default rule dismissal 12 6 motion assume prejudice default rule congress enacting language incorporated default rule purpose relied context congress incorporated default rule legislative provision,And as to -- sorry.,We assume that that's with prejudice as a kind of default rule.,LOMAX v. ORTIZ-MARQUEZ,FALSE,TRUE,FALSE
18-8369,2020-02-26T00:00:00Z,JUSTICE GORSUCH,,,,,,,,,,LOMAX v. ORTIZ-MARQUEZ,FALSE,TRUE,FALSE
18-8369,2020-02-26T00:00:00Z,JUSTICE KAVANAUGH,0,0.141176533082822,3,1,186,15,excuse upset balance plra rule 15 leave amend granted matter response responsive pleading district judges discretion grant leave amend occurred occurs suppose mitigate unfairness talk occur routine correction complaint happen happen rule 15 happen understanding district courts treat rule 15 compared dismissals prejudice understanding words judge courtroom 1 routinely dismissal prejudice judge courtroom 2 grant leave amend dismiss prejudice,On your --,"Is it your understanding, in other words, that Judge in Courtroom 1 will routinely do a dismissal without prejudice, Judge in Courtroom 2 will do grant leave to amend over and over again and not dismiss without prejudice, and -- and, if that's so, how should we think about that?",LOMAX v. ORTIZ-MARQUEZ,FALSE,TRUE,FALSE
18-8369,2020-02-26T00:00:00Z,JUSTICE GINSBURG,-0.5,0.0268713936433607,7,5,166,preclusion,assuming preclusion question suggest necessarily preclusion concerned prejudice preclusion talking preclusion talking strike means pay filing fee happened successive heck claims dismissed frivolous litigation fairness view district court brought heck claim dismissed changed frivolous solution identical claim,"But, here, it was the identical claim, right?",We're talking about a strike that means you have to pay the filing fee.,LOMAX v. ORTIZ-MARQUEZ,FALSE,TRUE,FALSE
18-877,2019-11-05T00:00:00Z,CHIEF JUSTICE ROBERTS,,0.554502542607337,0,0,12,briefly,briefly park,"Thank you, counsel.",Mr. Park.,ALLEN v. COOPER,FALSE,TRUE,FALSE
18-877,2019-11-05T00:00:00Z,JUSTICE THOMAS,,,,,,,,,,ALLEN v. COOPER,FALSE,TRUE,FALSE
18-877,2019-11-05T00:00:00Z,JUSTICE BREYER,2.5,0.271058661263004,7,4,123,budget,florida prepaid instances decide text stuff fabulous copy patents california california budget silicon valley material copy talking copyright talking patents solution budget question apparently dissented laughter,(Laughter.),Why not?,ALLEN v. COOPER,FALSE,TRUE,FALSE
18-877,2019-11-05T00:00:00Z,JUSTICE ALITO,-0.166666666666667,0.122845991630419,14,3,386,record,basically overrule florida prepaid katz overruled florida prepaid law article section power considered independently florida prepaid hold poorly reasoned exception rule ultimately overruled bring line position adopt congress enacted sixteen examples mere infringements necessarily violations constitutional infringement violate infringement federal government constitutional violation negligent record stronger record city boerne true question congruence proportionality city boerne reexamine city boerne raises question section 5 fourteenth amendment decided congressional record time enactment attempts rely congress's section 5 power insufficient subsequent events record lot stronger decision subject reexamination based happened events occurred enactment congress enacting section 5 recognize record violations predict understand u.s versus georgia wrong applied,"Well, you -- what you say raises an interesting question under Section 5 of the Fourteenth Amendment.",Am I wrong?,ALLEN v. COOPER,FALSE,TRUE,FALSE
18-877,2019-11-05T00:00:00Z,JUSTICE SOTOMAYOR,0.846153846153846,0.132358948028695,2,4,270,exclusive,articulate plan convention means means katz textual foothold ability ability habeas courts grant relief prisoners intrusion intellectual property provision 200 concurrent federal jurisdiction cut founders exclusive federal exclusively exclusive federal government exclusive jurisdiction signaled concurrent jurisdiction 200 assuming assuming securing copyright copyright owners paid injunctive relief promotes progress damages question issue promotes arts nice job papers blackbeard law trouble deeply proving proportionality fine remedies handle infringement shown failings state's processes evidence developed congress 50 territories additionally adequate systems address issue,Some would say that injunctive relief promotes progress.,"You've shown some failings in this state's processes, but I don't know how any of the evidence developed by Congress shows that all 50 states and territories additionally don't have adequate state systems to address this issue.",ALLEN v. COOPER,FALSE,TRUE,FALSE
18-877,2019-11-05T00:00:00Z,JUSTICE KAGAN,-0.666666666666667,0.172211529830447,8,7,230,16,read erroneous dicta language misreading reference statements seminole tribe bankruptcy clause florida prepaid topple rule rules simultaneously shaffer figure legislative record 16 instances florida prepaid instances difference yeah 16 low 50 16 infringed 16 strike major national lot record close eyes act trial court respect sorts,Mr. Shaffer -- please.,"And do you -- because I read the erroneous dicta language -- maybe I'm misreading it, so you can tell me how -- as just a reference to the statements in Seminole Tribe about the Bankruptcy Clause.",ALLEN v. COOPER,FALSE,TRUE,FALSE
18-877,2019-11-05T00:00:00Z,JUSTICE GORSUCH,,,,,,,,,,ALLEN v. COOPER,FALSE,TRUE,FALSE
18-877,2019-11-05T00:00:00Z,JUSTICE KAVANAUGH,,0.345838304897422,1,2,66,clause,florida prepaid subject usual stare decisis rules court patent remedy act sustained commerce clause patent clause seminole tribe makes congress abrogate sovereign immunity pursuant article powers,"Well, do you think Florida Prepaid is subject to our usual stare decisis rules or not?","Before that, it said Seminole Tribe makes clear that Congress may not abrogate state sovereign immunity pursuant to its Article I powers.",ALLEN v. COOPER,FALSE,TRUE,FALSE
18-877,2019-11-05T00:00:00Z,JUSTICE GINSBURG,1.5,0.131429365135252,0,1,173,authority,highly persuasive patent decision florida prepaid decision clause secure exclusivity katz court concentrated bankruptcy authority unique authority seminole board exception bankruptcy clause article inevitably intentional copying north carolina copyrighted educational purposes settlement parties reached sounds north carolina intentionally copying carrying rights settlement agreement based u.s georgia,In -- in --,"We have Seminole, which is across the board, and then we have the exception for the Bankruptcy Clause.",ALLEN v. COOPER,FALSE,TRUE,FALSE
18-882,2020-01-15T00:00:00Z,CHIEF JUSTICE ROBERTS,1.66666666666667,0.189198032445367,7,7,398,decision,require relief directly benefiting atmospheric relief institutional relief tangible conclude tainted process decisionmaker taint statute prohibits discrimination qualification significant factor affect final action type discrimination type weeks process comment age hiring person boomer laughter applicant concerned process concerned causation played role actual decision actionable significant factor decision factor free discrimination result final decision stray comments decide discrimination effect wondering position regulation speech workplace explain calling boomer position actionable calls boomer reason reason flip motivating factor defendant decision regard francisco,"Well, of course -- well, then explain how not.","We mean some discrimination that has a particular effect, even if it's not but-for.",BABB v. WILKIE,TRUE,TRUE,TRUE
18-882,2020-01-15T00:00:00Z,JUSTICE THOMAS,,,,,,,,,,BABB v. WILKIE,TRUE,FALSE,FALSE
18-882,2020-01-15T00:00:00Z,JUSTICE BREYER,2.75,0.469574172666399,0,5,191,motivating,key answered question question statute title vii discrimination motivating factor factors motivated practice pick standard opinion means free congress amended title vii plaintiff motivating factor motivating factors administrative title disagree yeah ahead yeah,Right.,You disagree with me because you --,BABB v. WILKIE,TRUE,TRUE,TRUE
18-882,2020-01-15T00:00:00Z,JUSTICE ALITO,,0.123380137270194,1,0,68,age,age plays role whatsoever actual decision prior process age considered depends final decision process happen situation,I don't know -- I'm -- I'm sorry.,But what would happen in that situation?,BABB v. WILKIE,TRUE,TRUE,TRUE
18-882,2020-01-15T00:00:00Z,JUSTICE SOTOMAYOR,0.75,0.0825398164518985,0,1,151,process,martinez assuming worst client government hired understand equal protection claim process free discrimination prove job opportunity prove qua remedy age considered considered inappropriately defense government's allegations allegations employment scenarios qualify process won prevailed process corrupted age,Mr. Martinez --,"But give me an example in those four or five of a process that could have -- that she might have won on, that she might have prevailed in showing that that process was corrupted because of her age.",BABB v. WILKIE,TRUE,TRUE,TRUE
18-882,2020-01-15T00:00:00Z,JUSTICE KAGAN,-0.25,0.154662419310141,1,1,197,action,martinez started process statute guess press understood word interpretation language interpretation personnel action free discrimination talking actual action discharge failure promote action moment time occurs action free discrimination entire process leading including irrelevant happened played role action free discrimination read process statute solicitor unequal treatment person subject unequal treatment outcome unequal treatment,"And if everything ends up the same, then there's been no unequal treatment.",And I guess I want to press you on why you think that is.,BABB v. WILKIE,TRUE,TRUE,TRUE
18-882,2020-01-15T00:00:00Z,JUSTICE GORSUCH,1.16666666666667,0.298627623040707,5,9,319,discriminate,remedy remedy obtained civil service laws remedies opportunity respond concerned solicitor suggests adopt view respect private discrimination 623 gross specifically language discriminate hiring discriminate respect terms conditions employment adopt broad reading discriminate understand responsive conditions yeah yeah process solicitor general's question word discriminate means word discriminate understand discriminate ejusdem generis canon excellent canon canon rule congress makes distinction attend language attend understand laughter discriminate catch resisted gross,"And I understand -- I know where you're going with that, and that's good, that's a good point -- (Laughter.)","But the ""otherwise discriminate,"" what -- you've got the ejusdem generis canon.",BABB v. WILKIE,TRUE,TRUE,TRUE
18-882,2020-01-15T00:00:00Z,JUSTICE KAVANAUGH,0.375,0.307809682962625,4,11,375,factor,causation required liability relief stage understand briefs causation required reinstatement pay statutory text hill relief stage causation rightly suffered action age entitled reinstatement subject actions term nassar term gross word action action referred adverse employment action decision word process judge henderson disagreed wait statutes statute liability stage read briefs read briefs yeah statute understand read briefs reject motivating factor adopt motivating factor standard price waterhouse type standard brought interrupt motivating factor factor correct factor limiting broadening language supposed catch phrase cover discriminate dealing compensation terms conditions word conditions lower courts interpreted broadly cover sorts aspects actions comparing statutes pick gorsuch's broader scope language terms,Is that correct?,"""Otherwise discriminate against anything dealing with compensation terms or conditions.""",BABB v. WILKIE,TRUE,TRUE,TRUE
18-882,2020-01-15T00:00:00Z,JUSTICE GINSBURG,2,0.230424334181904,3,2,110,relief,allegations passed people selected coagulation unit suppose true women selected qualified experience training lacked remedy violation age account relief hill answer relief training,-- Justice Kavanaugh.,So what would be the remedy?,BABB v. WILKIE,TRUE,TRUE,TRUE
18-916,2019-12-09T00:00:00Z,CHIEF JUSTICE ROBERTS,1,0.179536075237296,1,1,117,ellis,ellis pose question charnes separation powers understand answer potatoes timing institution matter basic issue patent validity avenues agree view briefly ellis geyser,"Thank you, counsel.",It's just about timing for -- for the institution of the matter and that the basic issue of the patent validity is something you're going to get to.,"THRYV v. CLICK-TO-CALL TECHNOLOGIES, LP",TRUE,TRUE,TRUE
18-916,2019-12-09T00:00:00Z,JUSTICE THOMAS,,,,,,,,,,"THRYV v. CLICK-TO-CALL TECHNOLOGIES, LP",TRUE,TRUE,TRUE
18-916,2019-12-09T00:00:00Z,JUSTICE BREYER,,0.215875939708883,2,3,88,institution,cuozzo speaks institution statute 6'2 institute speak institution statute decision speaks institution catching proceeding claim,Look at --,"Yes, of course, it only speaks to institution, but you could have a statute that said anyone who's 6'2"" can't institute.","THRYV v. CLICK-TO-CALL TECHNOLOGIES, LP",TRUE,TRUE,TRUE
18-916,2019-12-09T00:00:00Z,JUSTICE ALITO,2,0.450609489736655,1,3,56,issue,ellis strong cuozzo language read issue characterize issue,But why would it not be at issue?,-- I think you have a -- a -- a strong argument under Cuozzo.,"THRYV v. CLICK-TO-CALL TECHNOLOGIES, LP",TRUE,TRUE,TRUE
18-916,2019-12-09T00:00:00Z,JUSTICE SOTOMAYOR,-2,0.09583614200127,2,5,160,instituted,situation discovered proceeding instituted privy petitioner served complaint alleging infringement bar action time instituted appealable talk institute speaks prohibitive sense inter partes review instituted petition requesting proceeding filed talk director's decision talks barring action word institution instituted learns proceeding sort jurisdiction issue determine based papers necessarily,Why?,"May not be -- you're right, may not be instituted.","THRYV v. CLICK-TO-CALL TECHNOLOGIES, LP",TRUE,FALSE,FALSE
18-916,2019-12-09T00:00:00Z,JUSTICE KAGAN,,0.695641387392484,0,0,69,related,read cuozzo breyer's question 314 questions closely related reasonable likelihood determination particularity requirement related related closely related reasonable likelihood patentability determination timing,But maybe one way to read Cuozzo -- and I take this to be the point of Justice Breyer's question -- is that it -- it goes beyond 314 but that it only goes to questions that are closely related to the reasonable likelihood determination.,"So, there, the particularity requirement was reasonably related -- was related, closely related, to that reasonable likelihood of patentability determination, but timing is -- is less so.","THRYV v. CLICK-TO-CALL TECHNOLOGIES, LP",TRUE,TRUE,TRUE
